date,actual,ARIMA,Prophet,XGBoost,Naive
2016-09-22,114.620003,113.550003,108.52910452479715,113.05325,113.550003
2016-09-23,112.709999,113.550003,108.57176729427728,114.104904,114.620003
2016-09-26,112.879997,113.550003,109.51034317161431,111.4012,112.709999
2016-09-27,113.089996,113.550003,109.10447206244173,110.79934,112.879997
2016-09-28,113.949997,113.550003,109.2912064116939,111.901886,113.089996
2016-09-29,112.18,113.550003,109.17262111054877,113.23257,113.949997
2016-09-30,113.050003,113.550003,109.2152838800273,110.65407,112.18
2016-10-03,112.519997,113.550003,110.15385975736598,111.74923,113.050003
2016-10-04,113.0,113.550003,109.74798864819266,111.2592,112.519997
2016-10-05,113.050003,113.550003,109.93472299744528,112.66394,113.0
2016-10-06,113.889999,113.550003,109.81613769630056,112.0207,113.050003
2016-10-07,114.059998,113.550003,109.85880046577965,113.64583,113.889999
2016-10-10,116.050003,113.550003,110.79737634311694,114.013794,114.059998
2016-10-11,116.300003,113.550003,110.39150523394498,115.884605,116.050003
2016-10-12,117.339996,113.550003,110.57823958319644,115.583725,116.300003
2016-10-13,116.980003,113.550003,110.45965428205236,116.829,117.339996
2016-10-14,117.629997,113.550003,110.50231705153057,116.70394,116.980003
2016-10-17,117.550003,113.550003,111.4408929288686,116.940926,117.629997
2016-10-18,117.470001,113.550003,111.03502181969588,116.28229,117.550003
2016-10-19,117.120003,113.550003,111.22175616894758,116.525764,117.470001
2016-10-20,117.059998,113.550003,111.10317086780415,115.816795,117.120003
2016-10-21,116.599998,113.550003,111.14583363728356,115.75911,117.059998
2016-10-24,117.650002,113.550003,112.08440951462028,114.89068,116.599998
2016-10-25,118.25,113.550003,111.6785384054472,115.98303,117.650002
2016-10-26,115.589996,113.550003,111.86527275469915,116.68679,118.25
2016-10-27,114.480003,113.550003,111.74668745355447,115.58978,115.589996
2016-10-28,113.720001,113.550003,111.78935022303442,115.21176,114.480003
2016-10-31,113.540001,113.550003,112.72792610037196,115.994125,113.720001
2016-11-01,111.489998,113.550003,112.32205499119875,114.87614,113.540001
2016-11-02,111.589996,113.550003,112.50878934045028,110.73468,111.489998
2016-11-03,109.830002,113.550003,112.39020403930762,110.07329,111.589996
2016-11-04,108.839996,113.550003,112.43286680878532,109.49219,109.830002
2016-11-07,110.410004,113.550003,113.37144268612288,108.269325,108.839996
2016-11-08,111.059998,113.550003,112.96557157695004,110.496704,110.410004
2016-11-09,110.879997,113.550003,113.15230592620242,110.802376,111.059998
